action,actual_profit,ask,bid,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,closed,win
DEAL,0,18853.14,18846.95,False,05/10/2022 22:29,2628851055,M5,8,2653209287,18853.14,942.99,16495.665,34,Volatility 100 Index,1665005380.892984,23568.09,4,M30,BUY,0.2,False
,0.001,False
DEAL,0,539724.89,539670.55,False,05/10/2022 22:29,2628851060,M5,8,2653209295,539724.89,942.99,445425.89,34,Volatility 50 (1s) Index,1665005381.423771,728322.89,4,M30,BUY,0.005,False
DEAL,0,6556.067,6555.905,False,05/10/2022 22:29,2628851063,M5,8,2653209298,6556.067,942.99,4984.4169999999995,34,Volatility 10 Index,1665005381.66687,9699.367,4,M30,BUY,0.3,False
DEAL,0,1909.851,1909.734,False,05/10/2022 22:29,2628851069,M5,8,2653209304,1909.851,942.85,966.999,34,Volatility 25 Index,1665005381.684864,3795.5550000000003,4,M30,BUY,0.5,False
DEAL,0,8597.68,8597.64,False,05/10/2022 22:29,2628851078,M5,8,2653209313,8597.68,942.82,6240.515,34,Volatility 10 (1s) Index,1665005382.473255,13311.77,4,M30,BUY,0.2,False
DEAL,0,345028.21,345002.9,False,05/10/2022 22:29,2628851073,M5,8,2653209308,345028.21,942.83,250744.81,34,Volatility 25 (1s) Index,1665005382.474253,533595.01,4,M30,BUY,0.005,False
DEAL,0,250.5663,250.5378,False,05/10/2022 22:29,2628851075,M5,8,2653209310,250.5663,942.83,93.42830000000001,34,Volatility 50 Index,1665005382.477252,564.8423,4,M30,BUY,3.0,False
DEAL,0,6556.236,6556.074,False,05/10/2022 22:30,2628851571,M5,8,2653209816,6556.236,943.04,4984.5109999999995,34,Volatility 10 Index,1665005401.807594,9699.686,4,M30,BUY,0.3,False
DEAL,0,250.5792,250.5507,False,05/10/2022 22:30,2628851582,M5,8,2653209829,250.5792,943.04,93.40669999999997,34,Volatility 50 Index,1665005401.812592,564.9242,4,M30,BUY,3.0,False
DEAL,0,1910.773,1910.656,False,05/10/2022 22:30,2628851588,M5,8,2653209836,1910.773,943.03,967.7449999999998,34,Volatility 25 Index,1665005403.23599,3796.829,4,M30,BUY,0.5,False
DEAL,0,519669.09,519529.09,False,05/10/2022 22:30,2628851608,M5,8,2653209860,519669.09,943.07,48197.97999999992,34,Volatility 75 Index,1665005403.245985,1462739.98,4,M30,BUY,0.001,False
DEAL,0,539681.52,539627.18,False,05/10/2022 22:30,2628851597,M5,8,2653209847,539681.52,942.75,445323.80999999994,34,Volatility 50 (1s) Index,1665005403.240988,728232.21,4,M30,BUY,0.005,False
DEAL,0,18863.37,18857.18,False,05/10/2022 22:30,2628851593,M5,8,2653209842,18863.37,943.03,16505.8,34,Volatility 100 Index,1665005402.326275,23578.51,4,M30,BUY,0.2,False
DEAL,0,8598.91,8598.87,False,05/10/2022 22:30,2628851602,M5,8,2653209854,8598.91,943.02,6241.3099999999995,34,Volatility 10 (1s) Index,1665005403.27197,13314.02,4,M30,BUY,0.2,False
DEAL,0,344996.05,344970.74,False,05/10/2022 22:30,2628851606,M5,8,2653209858,344996.05,943.04,250694.85999999996,34,Volatility 25 (1s) Index,1665005403.272968,533603.26,4,M30,BUY,0.005,False
DEAL,0,250.9745,250.946,False,05/10/2022 22:52,2628874127,M5,8,2653232536,250.9745,941.01,94.13966666666667,34,Volatility 50 Index,1665006730.567414,564.6441666666667,4,M30,BUY,3.0,False
DEAL,0,18829.31,18823.12,False,05/10/2022 22:52,2628874129,M5,8,2653232538,18829.31,941.01,16476.787500000002,34,Volatility 100 Index,1665006730.574405,23534.355000000003,4,M30,BUY,0.2,False
DEAL,0,8600.53,8600.49,False,05/10/2022 22:52,2628874135,M5,8,2653232544,8600.53,941.05,6248.2275,34,Volatility 10 (1s) Index,1665006730.794503,13305.795,4,M30,BUY,0.2,False
DEAL,0,540604.63,540550.29,False,05/10/2022 22:52,2628874131,M5,8,2653232540,540604.63,941.01,446504.24,34,Volatility 50 (1s) Index,1665006730.792504,728806.94,4,M30,BUY,0.005,False
DEAL,0,6560.535,6560.373,False,05/10/2022 22:52,2628874141,M5,8,2653232550,6560.535,941.03,4992.258666666667,34,Volatility 10 Index,1665006730.802497,9697.303666666667,4,M30,BUY,0.3,False
DEAL,0,1910.561,1910.444,False,05/10/2022 22:52,2628874144,M5,8,2653232553,1910.561,941.0,969.5609999999999,34,Volatility 25 Index,1665006731.418559,3792.5609999999997,4,M30,BUY,0.5,False
DEAL,0,344658.46,344633.15,False,05/10/2022 22:52,2628874145,M5,8,2653232554,344658.46,940.98,250560.46000000002,34,Volatility 25 (1s) Index,1665006731.420558,532854.46,4,M30,BUY,0.005,False
DEAL,0,514873.63,514733.63,False,05/10/2022 22:52,2628874149,M5,8,2653232558,514873.63,940.98,44383.630000000005,34,Volatility 75 Index,1665006731.423555,1455853.63,4,M30,BUY,0.001,False
DEAL,0,8599.34,8599.3,False,05/10/2022 22:52,2628874757,M5,8,2653233168,8599.34,941.21,6246.3099999999995,34,Volatility 10 (1s) Index,1665006769.954211,13305.400000000001,4,M30,BUY,0.2,False
DEAL,0,6560.22,6560.058,False,05/10/2022 22:52,2628874759,M5,8,2653233170,6560.22,941.21,4991.533333333333,34,Volatility 10 Index,1665006769.957205,9697.593333333334,4,M30,BUY,0.3,False
DEAL,0,514905.4,514765.4,False,05/10/2022 22:52,2628874766,M5,8,2653233178,514905.4,941.21,44299.399999999965,34,Volatility 75 Index,1665006769.965201,1456117.4000000001,4,M30,BUY,0.001,False
DEAL,0,1911.272,1911.155,False,05/10/2022 22:52,2628874761,M5,8,2653233173,1911.272,941.21,970.0599999999998,34,Volatility 25 Index,1665006769.9632,3793.696,4,M30,BUY,0.5,False
DEAL,0,250.7982,250.7697,False,05/10/2022 22:52,2628874774,M5,8,2653233186,250.7982,941.21,93.92953333333332,34,Volatility 50 Index,1665006769.974199,564.5355333333334,4,M30,BUY,3.0,False
DEAL,0,541076.77,541022.43,False,05/10/2022 22:52,2628874776,M5,8,2653233188,541076.77,941.21,446955.57,34,Volatility 50 (1s) Index,1665006770.621263,729319.17,4,M30,BUY,0.005,False
DEAL,0,344604.02,344578.71,False,05/10/2022 22:52,2628874780,M5,8,2653233192,344604.02,941.21,250492.57,34,Volatility 25 (1s) Index,1665006770.617264,532845.97,4,M30,BUY,0.005,False
